Kapitel/Abschnitt;Kontroll-ID;Typ;Anforderung;Prüfmethode;Nachweis;Konformitätsstatus;Feststellung;Anmerkungen Unterstützung;Anmerkungen Auditor
04.2 Verantwortlichkeiten;4.2.1;Verpflichtend;Verantwortlichkeiten MÜSSEN eindeutig und widerspruchsfrei zugewiesen werden.;D;Organigramm, Stellenbeschreibungen, Verantwortlichkeitsmatrix;1;Das Organigramm liegt im Confluence ;;"Benennung eingesehen
"
04.2 Verantwortlichkeiten;4.2.2;Verpflichtend;Es MUSS für jede Verantwortlichkeit dokumentiert werden, welche Ziele erreicht werden sollen, für welche Ressourcen die Verantwortlichkeit besteht, welche Aufgaben erfüllt werden müssen, welche Berechtigungen bestehen, welche Ressourcen zur Verfügung stehen, wie die Erfüllung überprüft wird und welche Positionen die Verantwortlichen wahrnehmen.;D;Verantwortlichkeitsmatrix, Aufgabenbeschreibungen, Rollendefinitionen;1;Ist in IS-410 & IS-100 festgelgt;;Alle Punkte sind erwähnt aber inhaltlich potentiell ausbaufähig
04.2 Verantwortlichkeiten;4.2.3;Verpflichtend;Bei der Verteilung der Verantwortlichkeiten MUSS das Prinzip der Funktionstrennung umgesetzt werden. Widersprüchliche Verantwortlichkeiten DÜRFEN NICHT von derselben Person oder Organisationseinheit wahrgenommen werden.;D;Organigramm, Rollenbeschreibungen, Dokumentation der Funktionstrennung;1;Ist in IS-410 festgelegt;;
04.2 Verantwortlichkeiten;4.2.4;Verpflichtend;Um zugewiesene Verantwortlichkeiten wahrzunehmen, MÜSSEN die entsprechenden Mitarbeiter im erforderlichen Umfang von anderen Tätigkeiten freigestellt werden.;D;Stellenbeschreibungen, Zeitkontingente, Ressourcenplanung;0.5;nicht definiert und nur teilweise dokumentiert, jedoch wurde viel Zeit investiert ohne Diskussion;;
04.3 Topmanagement;4.3.1;Verpflichtend;Das Topmanagement MUSS sich zur Übernahme der Gesamtverantwortung für die Informationssicherheit verpflichten.;D;Unterschriebene IS-Leitlinie, Managementreview, Budgetzuweisung;0.5;"Beschreibung in IS-410 vorhanden
Freigabe nicht dokumentiert, Nacharbeit";Plan ist es, dass der CEO im Confluence-Dokument einen Kommentar postet im Sinne der Freigabe;
04.3 Topmanagement;4.3.2;Verpflichtend;Das Topmanagement MUSS IS-Richtlinien in Kraft setzen.;I;Unterschriebene IS-Richtlinien, Freigabedokumentation;0;kein Prozess definiert, noch keine Freigabe der meisten Richtlinien;;
04.3 Topmanagement;4.3.3;Verpflichtend;Das Topmanagement MUSS notwendige technische, finanzielle und personelle Ressourcen für die Informationssicherheit bereitstellen.;I;Budget für Informationssicherheit, Ressourcenplanung, Stellenplan;0.5;nicht definiert und nur teilweise dokumentiert, jedoch wurde viel Zeit investiert ohne Diskussion;;
04.3 Topmanagement;4.3.4;Verpflichtend;Das Topmanagement MUSS die Informationssicherheit in die Strukturen, Hierarchien und Arbeitsabläufe der Organisation einbetten.;I;Organigramm, Prozessbeschreibungen, Arbeitsanweisungen mit IS-Bezug;0;im Moment im Confluence hinterlegt, aber keine Kommunikation an MA bisher;;
04.4 Informationssicherheitsbeauftragter;4.4.1;Verpflichtend;Das Topmanagement MUSS einen Informationssicherheitsbeauftragten (ISB) bestellen.;D;Bestellungsurkunde des ISB, Stellenbeschreibung;1;;;
04.4 Informationssicherheitsbeauftragter;4.4.2;Verpflichtend;Der ISB MUSS darauf hinwirken, dass die in der IS-Leitlinie definierten Ziele der Informationssicherheit erreicht werden.;I;Tätigkeitsberichte, Protokolle, Maßnahmenlisten;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
04.4 Informationssicherheitsbeauftragter;4.4.3;Verpflichtend;Der ISB MUSS die technischen und organisatorischen Maßnahmen im Bereich der Informationssicherheit steuern, koordinieren und prüfen.;I;Maßnahmenpläne, Prüfberichte, Dokumentation der Kontrollen;0;Noch nicht eingeführt, Struktur wird gerade aufgebaut;;
04.4 Informationssicherheitsbeauftragter;4.4.4;Verpflichtend;Der ISB MUSS für kontinuierliche Verbesserung der Informationssicherheit sorgen.;I;Verbesserungsvorschläge, Projektdokumentation, Maßnahmenpläne;0.5;Die Rolle kommuniziert diese Anforderung aber Dokumentation liegt nicht strukturiert vor;;
04.4 Informationssicherheitsbeauftragter;4.4.5;Verpflichtend;Der ISB MUSS die Informationssicherheit an neue Bedrohungen, Schwachstellen und Anforderungen anpassen.;I;Aktualisierte Risikoanalysen, Änderungsdokumentation;0;Es gibt Newschannel aber kein Prozess zur Information usw.;;
04.4 Informationssicherheitsbeauftragter;4.4.6;Verpflichtend;Der ISB MUSS jährlich an das IST über den Stand der Informationssicherheit berichten.;I;Berichtsunterlagen, Protokolle der IST-Sitzungen;0;ISMS seit einem Jahr erst im Aufbau;;
04.4 Informationssicherheitsbeauftragter;4.4.7;Empfohlen;Es SOLLTE sichergestellt werden, dass die Verantwortlichkeiten des ISB auch in seiner Abwesenheit wahrgenommen werden.;I;Vertretungsregelung, Stellvertreterbenennung;0;noch nicht definiert;;
